,source,AU_value,CF_contribution,ED_purchaseValue,SP_value,Votes,mentions,betweenness,percentage_votes_used,created,unique_contributed,votes_before,did_bid,total_contributions,did_contribute,did_create,actual_airdrop
1140,0x2999377cd7a7b5fc9fd61db33610c891602ce037,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1141,0x299aca051910ad7536d6fa156075690b7a2ba2ec,0.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0526315789473684,0.0,0.0,20,0,0.0,0.0,0.0,0.001052631578947368
1142,0x299c8c6d973506fbf9245d95773d6ca1c5ccbfb3,0.0,0.05,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.04,10,0,0.05,0.15,0.0,0.0003
1143,0x299f03170913b4fd3158100dd5e5cc97fd0b0967,0.0,0.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1559,0.15,0.0,0.0009354
1144,0x29a0e282e9e07ee89736d0e72750d39f20f372a4,0.0,0.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1559,0.15,0.0,0.0009354
1145,0x29a4bff97c5bea25d73b5b6178aed63ad42e4849,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,10,0,0.01,0.15,0.0,6e-05
1146,0x29bc18979b5af84b820bddfac207b224c7a959de,0.0,0.0,0.0,0.0,1010.0,37.0,0.0002481082254526,0.497737556561086,0.0,0.0,1050,0,0.0,0.0,0.0,0.5291078054388632
1147,0x29bee0b61306db9630834eeac098c1635124a3f1,0.0,0.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1559,0.15,0.0,0.0009354
1148,0x29da35c8662da42d9ac83434d0f41d16384ba1fb,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1149,0x29e1fc14ddef309b808cc2c870ef3691c2aa07c8,0.0,0.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1559,0.15,0.0,0.0009354
1150,0x29faceec357d9747fdc909908332007868cb0380,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.05,0.0,0.0,20,0,0.0,0.0,0.0,0.001
1151,0x29faeb62f4e9e1456c2feed5c6f27b13fae91dae,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,1.0,0.15,0.0,0.006
1152,0x2a108c8b3ae0b2212c00a96ff04e8934bb53e07c,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1,0.15,0.0,0.0006
1153,0x2a19c055e56e0b8a1f424552609f7a1fb281598a,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1154,0x2a1bbcdff7a047d82fc8829faa0d13a8d2cf1dbe,0.0,0.0,0.0,0.0,0.0,9.0,0.0003046289508961,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1155,0x2a1ef2fc97f6f5db6b860c2b6a553b2bcc5071b9,0.0,0.0,0.0,0.0,10.0,4.0,3.881939168951529e-05,0.5,0.0,0.0,100,0,0.0,0.0,0.0,0.0500970484792238
1156,0x2a27ae7c9cbd3be6fd6dbc165db808642eee23ff,0.0,0.0,0.0,0.0,0.0,11.0,3.881939168951529e-05,0.0384615384615384,0.0,0.0,20,0,0.0,0.0,0.0,0.0007707238227572879
1157,0x2a2cd7400f922085b62ca9bd9ac0f16151f716ab,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1,0.15,0.0,0.0006
1158,0x2a2e8c025fc2e18af185a2123801ad8801afbd70,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.04,10,0,0.01,0.15,0.0,6e-05
1159,0x2a3479c3f82ec79628b660eee9efde947f04b77c,0.0,1.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,10,0,1.06,0.15,0.0,0.00636
1160,0x2a3f7e5170ea8ca967f85f091ef84591f639e031,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1,0.15,0.0,0.0006
1161,0x2a4f9b7d2cef1fd31711bcfaefbcc87a2270fb3c,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0526315789473684,0.0,0.0,20,0,0.0,0.0,0.0,0.001052631578947368
1162,0x2a59f7d6ac28e31715a76e949a805b7c1ae3ace5,0.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.008,0.15,0.0,4.7999999999999994e-05
1163,0x2a5ba6819249aa93c0ad8711a9f8058360083fb7,0.0,0.0,0.1659,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0,0,0.1659,0.15,0.0,0.0019908
1164,0x2a704f87cb047691139c6fec103ffbb10f9c67a2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1,0.15,0.0,0.0006
1165,0x2a8600bbdaab254a2f8a8e00912799295c3dd601,0.0,0.0,0.0,0.0,10.0,0.0,7.763878337903058e-05,0.0384615384615384,0.0,0.0,20,0,0.0,0.0,0.0,0.0007722168762838077
1166,0x2a8913204c0c525bcf159f7ee440aacfa458e04a,0.0,0.0,0.0,0.0,10.0,26.0,0.0008363831939946,0.0384615384615384,0.0,0.0,20,0,0.0,0.0,0.0,0.0008013993536151756
1167,0x2a91d4ff6ad3bf749fd4950191c780fb20819425,0.0,0.0,0.0,0.0,6210.0,11.0,0.0021745229509856,0.2861085556577737,1.0,0.0,1070,0,0.0,0.0,0.65,1.0600931551710375
1168,0x2a99ec82d658f7a77ddebfd83d0f8f591769cb64,0.0,0.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.04,10,0,0.1559,0.15,0.0,0.0009354
1169,0x2aadd9411d11f23095046af11997fbd668642356,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1170,0x2aafc1c8c86d9721c65e25bff252553fbd3ff991,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1171,0x2ac0b77652cfb7ebde8190d7c3e1a41e18dcc66f,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1172,0x2ad087372954d5e0a44ffd860723167d70aea18b,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0526315789473684,0.0,0.0,20,0,0.0,0.0,0.0,0.001052631578947368
1173,0x2ad3d1c3a10101b2cfb2ade0999a8e1c41656f07,0.0,0.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1559,0.15,0.0,0.0009354
1174,0x2ae111ce67a4a59c6c5bda23468338331454819a,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,10,0,0.0,0.0,0.0,0.0
1175,0x2ae1d88af6d27cdf7c5c3799c8bf88191e2686d6,0.0,0.0,0.1559,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.1559,0.15,0.0,0.0009354
1176,0x2ae5f36c77a736f76d61f3eec06f12caf2963fd6,0.0,0.0,0.0,0.0,60.0,15.0,0.0,0.1276595744680851,0.0,0.0,40,0,0.0,0.0,0.0,0.005106382978723404
1177,0x2ae8c972fb2e6c00dded8986e2dc672ed190da06,0.0,0.15,0.1559,0.0,7360.0,127.0,0.0079087513039049,0.6356589147286822,6.0,0.12,1080,0,0.3059,0.15,0.65,1.872702090223123
1178,0x2af19063ff9bd67bee4448b59bfb1c6159fc6565,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,2.0,0.15,0.0,0.012
1179,0x2afccecb86504de8023def0cac5a7fbc240830bb,0.0,0.0,0.01,0.0,10.0,7.0,0.0,0.0526315789473684,0.0,0.04,20,0,0.01,0.15,0.0,0.001112631578947368
1180,0x2afcf41dfb07e1ff201039d9c76dfb972bb67cc8,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,10,0,0.05,0.15,0.0,0.0003
1181,0x2affba838d35038c203a00755119978183de7b8f,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0,0,0.15,0.15,0.0,0.0009
1182,0x2b03088c22ae484ce873f21251a2e6fd0509ea07,0.0,0.0,0.0,0.0,10.0,24.0,0.0011679019572347,0.0384615384615384,0.0,0.0,20,0,0.0,0.0,0.0,0.0008141500752782563
1183,0x2b06fc77eb9d6f64b25bd577dacfa43b56e5b4cc,0.0,0.01,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.04,10,0,0.01,0.15,0.0,6e-05
1184,0x2b0d29ffa81fa6bf35d31db7c3bc11a5913b45ef,0.0,0.0,0.0,0.0,30.0,39.0,0.0002566403841432,0.1111111111111111,0.0,0.0,30,0,0.0,0.0,0.0,0.003376106730690533
1185,0x2b199682fe7a880e192911380eee55ecd5e849be,0.0,0.0,0.0,0.0,10.0,9.0,0.0,0.0384615384615384,0.0,0.0,20,0,0.0,0.0,0.0,0.000769230769230768
